year,fr,pcs
2013,Tirreno-Adriatico,Tirreno-Adriatico
2013,Giro d'Italia,Giro d'Italia
2013,Tour de France,Tour de France
2013,Il Lombardia,Il Lombardia
2014,Tirreno-Adriatico,Tirreno-Adriatico
2014,Giro d'Italia,Giro d'Italia
2014,Tour de France,Tour de France
2014,Il Lombardia,Il Lombardia
2015,Tirreno-Adriatico,Tirreno-Adriatico
2015,Paris - Roubaix,Paris - Roubaix
2015,Giro d'Italia,Giro d'Italia
2015,Tour de Suisse,Tour de Suisse
2015,Tour de France,Tour de France
2015,Il Lombardia,Il Lombardia
2016,Santos Tour Down Under,Santos Tour Down Under
2016,Milano - Sanremo,Milano - Sanremo
2016,E3 Harelbeke,E3 Harelbeke
2016,Paris - Roubaix,Paris - Roubaix
2016,Amstel Gold Race,Amstel Gold Race
2016,Tour de Romandie,Tour de Romandie
2016,Giro D'Italia,Giro D'Italia
2016,Tour de Suisse,Tour de Suisse
2016,Tour de France,Tour de France
2016,Tour de Pologne,Tour de Pologne
2016,Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
2016,Bretagne Classic - Ouest-France,Bretagne Classic - Ouest-France
2016,Grand Prix Cycliste de Quebec,Grand Prix Cycliste de Quebec
2016,Eneco Tour,Eneco Tour
2016,Il Lombardia,Il Lombardia
2017,Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
2017,Vuelta a Andalucia Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
2017,Tour Cycliste International La Provence,Tour Cycliste International La Provence
2017,Tour de Yorkshire,Tour de Yorkshire
2017,Vuelta a Castilla y Leon,Vuelta a Castilla y Leon
2017,Route du Sud - La Depeche du Midi,Route du Sud - La Depeche du Midi
2017,Tour of Slovenia,Tour of Slovenia
2017,Tour de l'Ain,Tour de l'Ain
2017,Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
2017,Tour of the Alps,Tour of the Alps
2017,Tour of Norway,Tour of Norway
2017,Baloise Belgium Tour,Baloise Belgium Tour
2017,VOO-Tour de Wallonie,VOO-Tour de Wallonie
2017,Vuelta a Burgos,Vuelta a Burgos
2017,Arctic Race of Norway,Arctic Race of Norway
2017,OVO Energy Tour of Britain,OVO Energy Tour of Britain
2017,PostNord Danmark Rundt - Tour of Denmark,PostNord Danmark Rundt - Tour of Denmark
2017,Santos Tour Down Under,Santos Tour Down Under
2017,Cadel Evans Great Ocean Road Race,Cadel Evans Great Ocean Road Race
2017,Abu Dhabi Tour,Abu Dhabi Tour
2017,Omloop Het Nieuwsblad,Omloop Het Nieuwsblad
2017,Tirreno-Adriatico,Tirreno-Adriatico
2017,Volta Ciclista a Catalunya,Volta Ciclista a Catalunya
2017,Dwars Door Vlaanderen / A travers la Flandre,Dwars Door Vlaanderen / A travers la Flandre
2017,Record Bank E3 Harelbeke,Record Bank E3 Harelbeke
2017,Gent-Wevelgem in Flanders Fields,Gent-Wevelgem in Flanders Fields
2017,Vuelta al Pais Vasco,Vuelta al Pais Vasco
2017,Amstel Gold Race,Amstel Gold Race
2017,Tour de Romandie,Tour de Romandie
2017,Eschborn-Frankfurt 'Rund um den Finanzplatz',Eschborn-Frankfurt 'Rund um den Finanzplatz'
2017,Giro d'Italia,Giro d'Italia
2017,Amgen Tour of California,Amgen Tour of California
2017,Tour de Suisse,Tour de Suisse
2017,Tour de France,Tour de France
2017,Tour de Pologne,Tour de Pologne
2017,Prudential RideLondon-Surrey Classic,Prudential RideLondon-Surrey Classic
2017,BinckBank Tour,BinckBank Tour
2017,Il Lombardia,Il Lombardia
2017,Presidential Cycling Tour of Turkey,Presidential Cycling Tour of Turkey
2017,Dubai Tour,Dubai Tour
2017,Tour of Oman,Tour of Oman
2018,Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
2018,Tour Cycliste International La Provence,Tour Cycliste International La Provence
2018,Vuelta a Castilla y Leon,Vuelta a Castilla y Leon
2018,Vuelta Asturias Julio Alvarez Mendo,Vuelta Asturias Julio Alvarez Mendo
2018,Tour de Yorkshire,Tour de Yorkshire
2018,Tour de l'Ain,Tour de l'Ain
2018,Tour of Slovenia,Tour of Slovenia
2018,Adriatica Ionica Race/Following the Serenissima Routes,Adriatica Ionica Race/Following the Serenissima Routes
2018,Deutschland Tour,Deutschland Tour
2018,Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
2018,Tour of The Alps,Tour of The Alps
2018,Tour of Norway,Tour of Norway
2018,Baloise Belgium Tour,Baloise Belgium Tour
2018,VOO-Tour de Wallonie,VOO-Tour de Wallonie
2018,PostNord Danmark Rundt - Tour of Denmark,PostNord Danmark Rundt - Tour of Denmark
2018,Vuelta a Burgos,Vuelta a Burgos
2018,Arctic Race of Norway,Arctic Race of Norway
2018,OVO Energy Tour of Britain,OVO Energy Tour of Britain
2018,Santos Tour Down Under,Santos Tour Down Under
2018,Cadel Evans Great Ocean Road Race,Cadel Evans Great Ocean Road Race
2018,Tirreno-Adriatico,Tirreno-Adriatico
2018,Volta Ciclista a Catalunya,Volta Ciclista a Catalunya
2018,Record Bank E3 Harelbeke,Record Bank E3 Harelbeke
2018,Gent-Wevelgem in Flanders Fields,Gent-Wevelgem in Flanders Fields
2018,Itzulia Basque Country,Itzulia Basque Country
2018,Amstel Gold Race,Amstel Gold Race
2018,Tour de Romandie,Tour de Romandie
2018,Eschborn-Frankfurt,Eschborn-Frankfurt
2018,Giro d'Italia,Giro d'Italia
2018,Amgen Tour of California,Amgen Tour of California
2018,Tour de Suisse,Tour de Suisse
2018,Tour de France,Tour de France
2018,Prudential RideLondon-Surrey Classic,Prudential RideLondon-Surrey Classic
2018,Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
2018,Tour de Pologne,Tour de Pologne
2018,Bretagne Classic - Ouest-France,Bretagne Classic - Ouest-France
2018,Presidential Cycling Tour of Turkey,Presidential Cycling Tour of Turkey
2018,Il Lombardia,Il Lombardia
2018,Dubai Tour,Dubai Tour
2018,Tour of Oman,Tour of Oman
2019,Tour of Slovenia,Tour of Slovenia
2019,Tour de Suisse,Tour de Suisse
2019,Volta a la Comunitat Valenciana,Volta a la Comunitat Valenciana
2019,Vuelta a Castilla y Leon,Vuelta a Castilla y Leon
2019,Vuelta Asturias Julio Alvarez Mendo,Vuelta Asturias Julio Alvarez Mendo
2019,Tour de l'Ain,Tour de l'Ain
2019,Volta ao Algarve em Bicicleta,Volta ao Algarve em Bicicleta
2019,Vuelta a Andalucia Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
2019,Tour of The Alps,Tour of The Alps
2019,Tour de Yorkshire,Tour de Yorkshire
2019,Tour of Norway,Tour of Norway
2019,Baloise Belgium Tour,Baloise Belgium Tour
2019,Santos Tour Down Under,Santos Tour Down Under
2019,Cadel Evans Great Ocean Road Race,Cadel Evans Great Ocean Road Race
2019,UAE Tour,UAE Tour
2019,Omloop Het Nieuwsblad Elite,Omloop Het Nieuwsblad Elite
2019,Strade Bianche,Strade Bianche
2019,Tirreno-Adriatico,Tirreno-Adriatico
2019,Volta Ciclista a Catalunya,Volta Ciclista a Catalunya
2019,Driedaagse Brugge-De Panne,Driedaagse Brugge-De Panne
2019,E3 Binckbank Classic,E3 Binckbank Classic
2019,Gent-Wevelgem in Flanders Fields,Gent-Wevelgem in Flanders Fields
2019,Dwars door Vlaanderen - A travers la Flandre,Dwars door Vlaanderen - A travers la Flandre
2019,Itzulia Basque Country,Itzulia Basque Country
2019,Presidential Cycling Tour of Turkey,Presidential Cycling Tour of Turkey
2019,Amstel Gold Race,Amstel Gold Race
2019,Tour de Romandie,Tour de Romandie
2019,Eschborn-Frankfurt,Eschborn-Frankfurt
2019,Giro d'Italia,Giro d'Italia
2019,Amgen Tour of California,Amgen Tour of California
2019,Mont Ventoux Denivele Challenge,Mont Ventoux Denivele Challenge
2019,Adriatica Ionica Race / Sulle Rotte della Serenissima,Adriatica Ionica Race / Sulle Rotte della Serenissima
2019,VOO-Tour de Wallonie,VOO-Tour de Wallonie
2019,Tour de France,Tour de France
2019,Vuelta a Burgos,Vuelta a Burgos
2019,Arctic Race of Norway,Arctic Race of Norway
2019,Tour de Pologne,Tour de Pologne
2019,Prudential RideLondon-Surrey Classic,Prudential RideLondon-Surrey Classic
2013,Ronde Van Vlaanderen,Ronde van Vlaanderen / Tour des Flandres
2013,Vuelta a Espana,Vuelta a Espana
2014,Ronde Van Vlaanderen,Ronde van Vlaanderen / Tour des Flandres
2014,Liege - Bastogne - Liege,Liege - Bastogne - Liege
2014,Vuelta a Espana,Vuelta a Espana
2015,Paris-Nice,Paris - Nice
2015,Milano - Sanremo,Milano-Sanremo
2015,Ronde Van Vlaanderen,Ronde van Vlaanderen / Tour des Flandres
2015,Liege - Bastogne - Liege,Liege - Bastogne - Liege
2015,Vuelta a Espana,Vuelta a Espana
2016,Paris-Nice,Paris - Nice
2016,Tirreno-Adriatico,Tirreno - Adriatico
2016,Volta a Catalunya,Volta Ciclista a Catalunya
2016,Gent-Wevelgem in Flanders Fields,Gent - Wevelgem in Flanders Fields
2016,Ronde Van Vlaanderen,Ronde van Vlaanderen / Tour des Flandres
2016,Vuelta al Pais Vasco,Vuelta Ciclista al Pais Vasco
2016,Liege - Bastogne - Liege,Liege - Bastogne - Liege
2016,Criterium du Dauphine,Criterium du Dauphine
2016,Vuelta a Espana,Vuelta a Espana
2016,EuroEyes Cyclassics,Cyclassics Hamburg
2016,Grand Prix Cycliste de Montreal,Grand Prix Cycliste de Montreal
2017,Paris-Nice,Paris - Nice
2017,Milano - Sanremo,Milano-Sanremo
2017,Ronde Van Vlaanderen,Ronde van Vlaanderen / Tour des Flandres
2017,Paris - Roubaix,Paris-Roubaix
2017,La Fleche Wallonne,La Fleche Wallonne
2017,Liege - Bastogne - Liege,Liege - Bastogne - Liege
2017,Criterium du Dauphine,Criterium du Dauphine
2017,Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
2017,Vuelta a Espana,Vuelta a Espana
2017,Euroeyes Cyclassics,Cyclassics Hamburg
2017,Bretagne Classic - Ouest France,Bretagne Classic - Ouest-France
2017,Grand Prix Cycliste de Quebec,Grand Prix Cycliste de Quebec
2017,Grand Prix Cycliste de Montreal,Grand Prix Cycliste de Montreal
2017,Tour of Guangxi,Gree - Tour of Guangxi
2018,Omloop Het Nieuwsblad,Omloop Het Nieuwsblad Elite
2018,Paris-Nice,Paris - Nice
2018,Milano - Sanremo,Milano-Sanremo
2018,Dwars Door Vlaanderen / A travers la Flandre,Dwars door Vlaanderen - A travers la Flandre
2018,Ronde Van Vlaanderen,Ronde van Vlaanderen - Tour des Flandres
2018,La Fleche Wallonne,La Fleche Wallonne
2018,Liege - Bastogne - Liege,Liege - Bastogne - Liege
2018,Criterium du Dauphine,Criterium du Dauphine
2018,BinckBank Tour,Binck Bank Tour
2018,Euroeyes Cyclassics,EuroEyes Cyclassics Hamburg
2018,Vuelta a Espana,Vuelta a Espana
2018,Grand Prix Cycliste de Quebec,Grand Prix Cycliste de Quebec
2018,Grand Prix Cycliste de Montreal,Grand Prix Cycliste de Montreal
2018,Tour of Guangxi,Gree-Tour of Guangxi
2019,Paris-Nice,Paris - Nice
2019,Milano - Sanremo,Milano-Sanremo
2019,Ronde Van Vlaanderen,Ronde van Vlaanderen - Tour des Flandres
2019,La Fleche Wallonne,La Fleche Wallonne
2019,Liege - Bastogne - Liege,Liege - Bastogne - Liege
2019,Criterium du Dauphine,Criterium du Dauphine
2019,Clasica Ciclista San Sebastian,Clasica Ciclista San Sebastian
2019,BinckBank Tour,Binck Bank Tour
2019,Vuelta a Espana,Vuelta a Espana
2019,Bretagne Classic - Ouest France,Bretagne Classic - Ouest-France
2018,4 Jours de Dunkerque / Grand Prix des Hauts-de-France,4 Jours de Dunkerque / Grand Prix des Hauts de France
2019,4 Jours de Dunkerque / Grand Prix des Hauts-de-France,4 Jours de Dunkerque / Grand Prix des Hauts de France
2017,4 Jours de Dunkerque / Grand Prix des Hauts-de-France,4 Jours de Dunkerque / Tour des Hauts-de-France
2017,Osterreich Rundfahrt,Int. Osterreich-Rundfahrt-Tour of Austria
2018,Int. Osterreich-Rundfahrt-Tour of Austria,Int. Osterreich-Rundfahrt-Tour of Austria
2019,Osterreich Rundfahrt,Int. Osterreich-Rundfahrt-Tour of Austria
2018,Route d'Occitaine,La Route d'Occitanie
2019,La Route d'Occitanie - La Depeche du Midi,La Route d'Occitanie - La Depeche du Midi
2017,Tour de Luxembourg,Skoda-Tour de Luxembourg
2018,Tour de Luxembourg,Skoda-Tour de Luxembourg
2019,SKODA Tour de Luxembourg,Skoda-Tour de Luxembourg
2019,Tour Cycliste International La Provence,Tour Cycliste International La Provence
2018,Colombia Oro y Paz,Tour of Colombia
2019,Colombia 2.1,Tour of Colombia
2019,Tour of Oman,Tour of Oman
2017,The Larry H.Miller Tour of Utah,Tour of Utah
2018,The Larry H.Miller Tour of Utah,Tour of Utah
2019,The Larry Miller Tour of Utah,Tour of Utah
2018,Vuelta a Andalucia - Ruta Ciclista Del Sol,Vuelta a Andalucia Ruta Ciclista Del Sol
2017,Vuelta Ciclista a la Provincia de San Juan,Vuelta a San Juan Internacional
2018,Vuelta Ciclista a la Provincia de San Juan,Vuelta a San Juan Internacional
2019,Vuelta a San Juan Internacional,Vuelta a San Juan Internacional
2017,Vuelta Ciclista a la Region de Murcia,Vuelta Ciclista a la Region de Murcia Costa Calida
2018,Vuelta Ciclista a la Region de Murcia Costa Calida,Vuelta Ciclista a la Region de Murcia Costa Calida
2019,Vuelta Ciclista a la Region de Murcia Costa Calida,Vuelta Ciclista a la Region de Murcia Costa Calida
2017,Vuelta Ciclista a la Comunidad de Madrid,Vuelta Ciclista Comunidad de Madrid
2018,Vuelta Ciclista a la Comunidad de Madrid,Vuelta Ciclista Comunidad de Madrid
2019,Vuelta Ciclista a la Comunidad de Madrid,Vuelta Ciclista Comunidad de Madrid
2017,UCI Road World Championships - ITT (Men Elite),World Championships
2018,UCI Road World Championships - ITT (Men Elite),World Championships
2019,UCI Road World Championships - ITT (Men Elite),World Championships
2017,UCI Road World Championships (Men Elite),World Championships ITT
2018,UCI Road World Championships (Men Elite),World Championships ITT
2019,UCI Road World Championships (Men Elite),World Championships ITT
2017,Clasica de Almeria,Clasica de Almeria
2017,Kuurne-Bruxelles-Kuurne,Kuurne-Bruxelles-Kuurne
2017,GP Industria & Artigianato,GP Industria & Artigianato
2017,Ronde van Drenthe,Ronde van Drenthe
2017,Danilith - Nokere Koerse,Danilith - Nokere Koerse
2017,De Brabantse Pijl - La Fleche Brabanconne,De Brabantse Pijl - La Fleche Brabanconne
2018,GP Costa de Almeria,Clasica de Almeria
2019,Clasica de Almeria,Clasica de Almeria
2018,Nokere Koerse - Danilith Classic,Danilith Nokere Koerse
2019,Danilith Nokere Koerse,Danilith Nokere Koerse
2018,De Brabantse Pijl - La Fleche Brabanconne,De Brabantse Pijl - La Fleche Brabanconne
2019,De Brabantse Pijl - La Fleche Brabanconne,De Brabantse Pijl - La Fleche Brabanconne
2019,EuroEyes Cyclassics,EuroEyes Cyclassics Hamburg
2018,GP Industria & Artigianato,GP Industria & Artigianato
2019,GP Industria & Artigianato,GP Industria & Artigianato
2019,Grand Prix Cycliste de Montreal,Grand Prix Cycliste de Montreal
2019,Grand Prix Cycliste de Quebec,Grand Prix Cycliste de Quebec
2018,Kuurne-Bruxelles-Kuurne,Kuurne-Bruxelles-Kuurne
2019,Kuurne-Bruxelles-Kuurne,Kuurne-Bruxelles-Kuurne
2017,Milano - Torino,Milano-Torino
2018,Milano - Torino,Milano-Torino
2018,Ronde van Drenthe,Ronde van Drenthe
2019,Ronde van Drenthe,Ronde van Drenthe
2017,Tre Valli Varesine,Tre Valli Varesine
2018,Tre Valli Varesine,Tre Valli Varesine
2018,Trofeo Laigueglia,Trofeo Laigueglia
2017,Vuelta a Asturias,Vuelta Asturias Julio Alvarez Mendo
2017,Brussels Cycling Classic,Brussels Cycling Classic
2017,Memorial Pantani,Memorial Marco Pantani
2017,Giro della Toscana,Giro della Toscana - Memorial Alfredo Martini
2017,Paris - Tours,Paris-Tours Elite
2017,Trofeo Laigueglia,Trofeo Laigueglia
2017,Giro dell'Emilia,Giro dell'Emilia
2018,Brussels Cycling Classic,Brussels Cycling Classic
2018,Giro della Toscana,Giro della Toscana - Memorial Alfredo Martini
2018,Memorial Marco Pantani,Memorial Marco Pantani
2018,Paris - Tours,Paris - Tours Elite
2018,Gran Piemonte,Gran Piemonte
2018,Giro dell'Emilia,Giro dell'Emilia
2019,Trofeo Laigueglia,Trofeo Laigueglia
2019,Bredene Koksijde Classic,Bredene Koksijde Classic
2019,Brussels Cycling Classic,Brussels Cycling Classic
2017,Circuit Cycliste Sarthe - Pays de la Loire,Circuit Cycliste Sarthe - Pays de la Loire 
2018,Circuit Cycliste Sarthe - Pays de la Loire,Circuit Cycliste Sarthe - Pays de la Loire 
2019,Circuit Cycliste Sarthe - Pays de la Loire,Circuit Cycliste Sarthe - Pays de la Loire 
2019,Deutschland Tour,Deutschland Tour
2017,Driedaagse De Panne - Koksijde,Driedaagse Brugge - De Panne
2018,Driedaagse De Panne-Koksijde,Driedaagse Brugge-De Panne
2017,Etoile de Besseges,Etoile de Besseges
2018,Etoile de Besseges,Etoile de Besseges
2019,Etoile de Besseges,Etoile de Besseges
2017,GP de Denain - Porte du Hainaut / Valenciennes Metropole,GP de Denain - Porte du Hainaut / Valenciennes Metropole
2017,GP de Fourmies / La Voix du Nord,GP de Fourmies / La Voix du Nord
2018,GP de Fourmies / La Voix du Nord,GP de Fourmies / La Voix du Nord
2017,GP du Canton d'Argovie,GP du canton d'Argovie
2018,GP du Canton d'Argovie,GP du canton d'Argovie
2017,Gran Premio Bruno Beghelli,Gran Premio Bruno Beghelli
2018,Gran Premio Bruno Beghelli,Gran Premio Bruno Beghelli
2017,Gran Premio Citta di Lugano,Gran Premio Citta di Lugano
2018,Gran Premio Citta di Lugano,UNK
2019,Gran Premio Citta di Lugano,UNK
2018,Grand Prix de Denain - Porte du Hainaut,Grand Prix de Denain - Porte du Hainaut
2019,Grosser Preis des Kantons Aargau,UNK
2017,Handzame Classic,UNK
2018,Handzame Classic,Handzame Classic
2019,OVO Energy Tour of Britain,UNK
2019,PostNord Danmark Rundt - Tour of Denmark,PostNord Danmark Rundt - Tour of Denmark
2018,Primus Classic,Primus Classic
2019,Primus Classic,Primus Classic
2017,Primus Classic Impanis - Van Petegem,Primus Classic
2018,Settimana Internazionale Coppi e Bartali,Settimana Internazionale Coppi e Bartali
2019,Settimana Internazionale Coppi e Bartali,Settimana Internazionale Coppi e Bartali
2018,Sparkassen Muensterland Giro,Sparkassen Munsterland Giro
2017,Tour de l'Eurometropole,Tour de l'Eurometropole
2018,Tour de l'Eurometropole,Tour de l'Eurometropole
2017,Tour des Fjords,Tour des Fjords
2018,Tour Des Fjords,Tour des Fjords
2017,Tour of Croatia,Tour of Croatia
2018,Tour of Croatia,Tour of Croatia
2017,Tour of Slovaquie,Okolo Slovenska
2018,Tour of Slovaquie,Okolo Slovenska
